company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal,fwd_return,actual_up,is_directional,correct
Novo Nordisk,Jefferies,2012-11-06 16:43:00,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,0.11172862588035581,True,False,
Novo Nordisk,Natixis,2013-02-11 13:24:29,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,0.2800035139305579,True,False,
Novo Nordisk,Kepler Cheuvreux,2013-02-11 13:26:31,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,0.2800035139305579,True,False,
Novo Nordisk,Nomura,2013-02-12 13:14:05,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.2850398867018511,True,True,1.0
Novo Nordisk,JP Morgan,2013-03-18 13:12:55,Underweight,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1,0.3176342574118105,True,True,0.0
Novo Nordisk,Swedbank,2013-04-16 12:48:07,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.25651181851667015,True,True,1.0
Novo Nordisk,Natixis,2013-05-24 11:54:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.2292224486206509,True,True,1.0
Novo Nordisk,Handelsbanken,2013-06-11 12:01:51,Buy,Accumulate,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.3381715075531717,True,True,1.0
Novo Nordisk,B of A Securities,2013-06-17 11:43:34,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,0.4319487488657614,True,False,
Novo Nordisk,Exane BNP Paribas,2013-06-19 11:24:38,Underperform,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1,0.45193413747368916,True,True,0.0
Novo Nordisk,Baader Helvea,2013-06-24 13:04:50,Buy,Accumulate,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.49783836572791773,True,True,1.0
Novo Nordisk,Swedbank,2013-09-06 11:39:03,Buy,Strong Buy,down,0.0,0.0,NOVO-B.CO,yahoo,1,0.42198065946632357,True,True,1.0
Novo Nordisk,Barclays,2013-09-16 11:43:25,Overweight,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.4734223656672576,True,True,1.0
Novo Nordisk,Swedbank,2013-11-01 11:17:30,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,0.4924261731157278,True,False,
Novo Nordisk,Swedbank,2014-01-31 13:00:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.37447856776064503,True,True,1.0
Novo Nordisk,JP Morgan,2014-02-24 13:00:00,Overweight,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.28506519411602316,True,True,1.0
Novo Nordisk,B of A Securities,2014-02-25 13:00:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.2141985730907039,True,True,1.0
Novo Nordisk,Commerzbank,2015-01-28 17:35:27,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,0.2658307474207606,True,False,
