company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal
Novo Nordisk,Jefferies,2012-11-06 16:43:00,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Natixis,2013-02-11 13:24:29,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Kepler Cheuvreux,2013-02-11 13:26:31,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Nomura,2013-02-12 13:14:05,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,JP Morgan,2013-03-18 13:12:55,Underweight,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Novo Nordisk,Swedbank,2013-04-16 12:48:07,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Natixis,2013-05-24 11:54:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Handelsbanken,2013-06-11 12:01:51,Buy,Accumulate,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2013-06-17 11:43:34,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Exane BNP Paribas,2013-06-19 11:24:38,Underperform,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Novo Nordisk,Baader Helvea,2013-06-24 13:04:50,Buy,Accumulate,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Swedbank,2013-09-06 11:39:03,Buy,Strong Buy,down,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Barclays,2013-09-16 11:43:25,Overweight,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Swedbank,2013-11-01 11:17:30,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Swedbank,2014-01-31 13:00:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,JP Morgan,2014-02-24 13:00:00,Overweight,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2014-02-25 13:00:00,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Commerzbank,2015-01-28 17:35:27,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novonesis,Jefferies,2015-08-07 15:00:00,Hold,,main,44.45,45.5,NSIS-B.CO,yahoo,0
Novo Nordisk,Leerink Swann,2015-08-28 10:24:50,Market Perform,,init,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Jyske Bank,2015-10-19 09:21:28,Strong Buy,Buy,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Oddo Securities,2016-01-26 13:56:42,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
