player,team,gb_american,pen_taker
Kylian Mbappe,Frankrig,600,1
Harry Kane,England,700,1
Erling Haaland,Norge,1400,1
Mikel Oyarzabal,Spanien,1400,1
Lionel Messi,Argentina,1600,1
Cristiano Ronaldo,Portugal,2000,1
Lamine Yamal,Spanien,2200,0
Ousmane Dembele,Frankrig,2500,0
Raphinha,Brasilien,2800,1
Julian Alvarez,Argentina,3000,0
Vinicius Junior,Brasilien,3000,0
Kai Havertz,Tyskland,3000,1
Lautaro Martinez,Argentina,3500,0
Cody Gakpo,Holland,4000,0
Romelu Lukaku,Belgien,4000,1
Mikel Merino,Spanien,4000,0
Donyell Malen,Holland,5000,0
Jean-Philippe Mateta,Frankrig,5000,0
Ferran Torres,Spanien,5000,0
Bukayo Saka,England,5000,0
Igor Thiago,Brasilien,5000,0
Michael Olise,Frankrig,5000,0
Endrick,Brasilien,5000,0
Deniz Undav,Tyskland,5000,0
Memphis Depay,Holland,5000,1
Luis Diaz,Colombia,5000,0
Desire Doue,Frankrig,5000,0
Matheus Cunha,Brasilien,5000,0
Luis Javier Suarez,Colombia,5000,0
Morgan Rogers,England,6500,0
Santiago Gimenez,Mexico,6500,0
Darwin Nunez,Uruguay,6500,0
Eberechi Eze,England,6500,0
Jude Bellingham,England,6500,0
Alexander Isak,Sverige,6500,1
Goncalo Ramos,Portugal,6500,0
Jamal Musiala,Tyskland,6500,0
Leandro Trossard,Belgien,6500,0
Marcus Rashford,England,6500,0
Ollie Watkins,England,6500,0
Florian Wirtz,Tyskland,6500,0
Neymar,Brasilien,6500,0
Enner Valencia,Ecuador,6500,1
Bruno Fernandes,Portugal,6500,1
Nick Woltemade,Tyskland,6500,0
Alexander Sorloth,Norge,6500,0
Dani Olmo,Spanien,6500,0
Folarin Balogun,USA,8000,0
Kevin De Bruyne,Belgien,8000,0
Christian Pulisic,USA,8000,1
Anthony Gordon,England,8000,0
Rafael Leao,Portugal,8000,0
Jeremy Doku,Belgien,8000,0
Sadio Mane,Senegal,8000,1
Marcus Thuram,Frankrig,8000,0
Brian Brobbey,Holland,8000,0
Leroy Sane,Tyskland,8000,0
Viktor Gyökeres,Sverige,8000,0
Raul Jimenez,Mexico,8000,1
Mohamed Salah,Egypten,8000,1
Joao Felix,Portugal,8000,0
Ayase Ueda,Japan,8000,0
Omar Marmoush,Egypten,10000,0
Mohammed Kudus,Ghana,10000,1
Charles De Ketelaere,Belgien,10000,0
Nicolas Jackson,Senegal,10000,0
Rayan Cherki,Frankrig,10000,0
Jonathan David,Canada,10000,1
