Navn;Hold;Position;Pris;Startpris;Popularitet (%);Ude
Kylian Mbappe;Frankrig;Angreb;10000000;10000000;10,53;nej
Harry Kane;England;Angreb;9500000;9500000;10,45;nej
Lamine Yamal;Spanien;Angreb;9000000;9000000;9,90;nej
Erling Haaland;Norge;Angreb;8500000;8500000;22,00;nej
Lautaro Martinez;Argentina;Angreb;8000000;8000000;1,07;nej
Lionel Messi;Argentina;Angreb;8000000;8000000;6,05;nej
Florian Wirtz;Tyskland;Midtbane;7500000;7500000;15,18;nej
Vinicius Junior;Brasilien;Angreb;7500000;7500000;3,53;nej
Mikel Oyarzabal;Spanien;Angreb;7500000;7500000;21,19;nej
Bruno Fernandes;Portugal;Midtbane;7000000;7000000;19,03;nej
Kevin De Bruyne;Belgien;Midtbane;7000000;7000000;1,76;nej
Michael Olise;Frankrig;Angreb;7000000;7000000;18,33;nej
Cristiano Ronaldo;Portugal;Angreb;7000000;7000000;9,09;nej
Jamal Musiala;Tyskland;Midtbane;6500000;6500000;13,87;nej
Jeremy Doku;Belgien;Angreb;6500000;6500000;2,31;nej
Bukayo Saka;England;Angreb;6500000;6500000;1,36;nej
Raphinha;Brasilien;Angreb;6500000;6500000;7,10;nej
Cody Gakpo;Holland;Angreb;6500000;6500000;1,49;nej
Tijjani Reijnders;Holland;Midtbane;6000000;6000000;0,55;nej
Pedri;Spanien;Midtbane;6000000;6000000;9,10;nej
Jude Bellingham;England;Midtbane;6000000;6000000;3,58;nej
Charles De Ketelaere;Belgien;Angreb;6000000;6000000;0,45;nej
Darwin Nunez;Uruguay;Angreb;6000000;6000000;0,69;nej
Heung-Min Son;Sydkorea;Angreb;6000000;6000000;0,51;nej
Julian Alvarez;Argentina;Angreb;6000000;6000000;10,90;nej
Viktor Gyökeres;Sverige;Angreb;6000000;6000000;0,96;nej
Hugo Ekitike;Frankrig;Angreb;6000000;6000000;0,00;ja
Nick Woltemade;Tyskland;Angreb;6000000;6000000;1,13;nej
Serge Gnabry;Tyskland;Angreb;6000000;6000000;0,01;ja
Bernardo Silva;Portugal;Midtbane;5500000;5500000;1,98;nej
Vitinha;Portugal;Midtbane;5500000;5500000;9,43;nej
Thiago Almada;Argentina;Midtbane;5500000;5500000;1,06;nej
Lucas Paqueta;Brasilien;Midtbane;5500000;5500000;0,93;nej
Morgan Rogers;England;Midtbane;5500000;5500000;0,74;nej
Federico Valverde;Uruguay;Midtbane;5500000;5500000;2,66;nej
Leandro Trossard;Belgien;Angreb;5500000;5500000;0,59;nej
Luis Diaz;Colombia;Angreb;5500000;5500000;6,69;nej
Ayase Ueda;Japan;Angreb;5500000;5500000;0,33;nej
Marcus Rashford;England;Angreb;5500000;5500000;1,16;nej
Neymar Jr.;Brasilien;Angreb;5500000;5500000;1,23;nej
Ousmane Dembele;Frankrig;Angreb;5500000;5500000;17,64;nej
Kai Havertz;Tyskland;Angreb;5500000;5500000;32,08;nej
Andrej Kramaric;Kroatien;Angreb;5500000;5500000;0,15;nej
Leroy Sane;Tyskland;Angreb;5500000;5500000;1,63;nej
Rafael Leão;Portugal;Angreb;5500000;5500000;1,71;nej
Francisco Conceicao;Portugal;Angreb;5500000;5500000;0,48;nej
João Cancelo;Portugal;Forsvar;5000000;5000000;1,63;nej
Virgil van Dijk;Holland;Forsvar;5000000;5000000;3,84;nej
Denzel Dumfries;Holland;Forsvar;5000000;5000000;2,36;nej
Marquinhos;Brasilien;Forsvar;5000000;5000000;1,69;nej
Jordan Pickford;England;Keeper;5000000;5000000;2,60;nej
Bento Krepski;Brasilien;Keeper;5000000;5000000;0,00;ja
Alisson Becker;Brasilien;Keeper;5000000;5000000;2,32;nej
Ederson Moraes;Brasilien;Keeper;5000000;5000000;0,10;nej
Emiliano Martinez;Argentina;Keeper;5000000;5000000;5,83;nej
Unai Simon;Spanien;Keeper;5000000;5000000;3,86;nej
David Raya;Spanien;Keeper;5000000;5000000;7,77;nej
Mike Maignan;Frankrig;Keeper;5000000;5000000;5,48;nej
Oliver Baumann;Tyskland;Keeper;5000000;5000000;0,42;nej
Manuel Neuer;Tyskland;Keeper;5000000;5000000;4,90;nej
Diogo Costa;Portugal;Keeper;5000000;5000000;4,57;nej
João Neves;Portugal;Midtbane;5000000;5000000;4,48;nej
Joshua Kimmich;Tyskland;Midtbane;5000000;5000000;5,23;nej
Lennart Karl;Tyskland;Midtbane;5000000;5000000;0,15;ja
Fermin Lopez;Spanien;Midtbane;5000000;5000000;0,01;ja
Dani Olmo;Spanien;Midtbane;5000000;5000000;15,92;nej
Rodri Hernandez;Spanien;Midtbane;5000000;5000000;2,11;nej
Nico Paz;Argentina;Midtbane;5000000;5000000;1,84;nej
Enzo Fernandez;Argentina;Midtbane;5000000;5000000;3,73;nej
Cole Palmer;England;Midtbane;5000000;5000000;0,03;ja
Kang-In Lee;Sydkorea;Midtbane;5000000;5000000;0,30;nej
Maxi Araujo;Uruguay;Midtbane;5000000;5000000;0,22;nej
Sadio Mane;Senegal;Angreb;5000000;5000000;0,34;nej
Mohamed Salah;Egypten;Angreb;5000000;5000000;1,03;nej
Omar Marmoush;Egypten;Angreb;5000000;5000000;0,28;nej
