Navn;Hold;Position;Pris;Totalvækst;Vækst;Mål;Assist;Gule kort;Røde kort;Skud på mål;Redninger;Popularitet %;Trend;Index;Skadet;Karantæne;Aktiv
Aaron Wan-Bissaka;Congo DR;Forsvar;3059000;59000;0;;;;;;;0,22;-28;19;;;Ja
Abdallah Al-Fakhouri;Jordan;Keeper;2485000;-15000;0;;;;;;;0,12;-47;-6;;;Ja
Abdallah Nasib;Jordan;Forsvar;2471000;-29000;0;;;;;;;0,05;-19;-12;;;Ja
Abdelmouhib Chamakh;Tunesien;Keeper;2464000;-36000;0;;;;;;1;0,06;-18;-15;;;Ja
Abdoulaye Seck;Senegal;Forsvar;3082000;82000;0;;1;1;;;;0,11;-11;27;;;Ja
Abdukodir Khusanov;Usbekistan;Forsvar;2889000;-111000;0;;;2;;;;0,2;-31;-38;;;Ja
Abdulaziz Hatim Mohammed;Qatar;Midtbane;2481000;-19000;0;;;;;;;0,05;-16;-8;;;Ja
Abdulelah Al-Amri;Saudi-Arabien;Forsvar;2708000;208000;0;1;;1;;1;;0,02;-10;77;;;Ja
Abdulkerim Bardakci;Tyrkiet;Forsvar;3030000;30000;0;;;;;1;;0,27;-48;10;;;Ja
Abdullah Al-Hamdan;Saudi-Arabien;Angreb;2535000;35000;0;;;;;2;;0,02;-14;14;;;Ja
Abdullah Al-Khaibari;Saudi-Arabien;Midtbane;2501000;1000;0;;;;;;;0,02;-17;0;;;Ja
Abduvokhid Nematov;Usbekistan;Keeper;2409000;-91000;0;;;;;;4;0,05;-9;-38;;;Ja
Achraf Hakimi;Marokko;Forsvar;4450000;450000;0;1;1;;;2;;11,91;-1150;101;;;Ja
Achref Abada;Algeriet;Forsvar;1985000;-15000;0;;;;;;;0,08;-45;-8;;;Ja
Adalberto Carrasquilla;Panama;Midtbane;2485000;-15000;0;;;;;;;0,05;-11;-6;;;Ja
Adem Arous;Tunesien;Forsvar;1985000;-15000;0;;;;;;;0,03;-28;-8;;;Ja
Adil Boulbina;Algeriet;Angreb;2489000;-11000;0;;;;;;;0;-8;-4;;;Ja
Adrien Rabiot;Frankrig;Midtbane;4171000;171000;0;;1;;;;;4,86;-54;41;;;Ja
Ahmed Alaaeldin Abdelmotaal;Qatar;Angreb;3018000;18000;0;;;;;1;;0;-11;6;;;Ja
Ahmed Basil Fadhil;Iraq;Keeper;2476000;-24000;0;;;;;;3;0,03;-8;-10;;;Ja
Ahmed Fathi;Qatar;Midtbane;2458000;-42000;0;;;2;;;;0,01;-15;-17;;;Ja
Ahmed Fatouh;Egypten;Forsvar;2572000;72000;0;;;1;;1;;0,16;7;28;;;Ja
Ahmed Hasan Maknzi;Iraq;Forsvar;1965000;-35000;0;;;;;;;0;-12;-18;;;Ja
Ahmed Nadhir Benbouali;Algeriet;Angreb;2177000;177000;0;1;;;;1;;0,05;-43;81;;;Ja
Aiden O'Neill;Australien;Midtbane;2580000;80000;0;;;;;;;0,09;-8;31;;;Ja
Aimar Sher;Iraq;Midtbane;2489000;-11000;0;;;;;;;0,01;-6;-4;;;Ja
Aissa Mandi;Algeriet;Forsvar;3037000;37000;0;;;;;;;0,05;-9;12;;;Ja
Ajdin Hrustic;Australien;Midtbane;2002000;2000;0;;;;;;;0,08;-56;1;;;Ja
Akam Hashem;Iraq;Forsvar;1911000;-89000;0;;;;;;;0,04;-14;-47;;;Ja
Akmal Mozgovoy;Usbekistan;Midtbane;2521000;21000;0;;1;;;;;0,01;-7;8;;;Ja
Akram Afif;Qatar;Angreb;3474000;-26000;0;;;;;;;0,03;-18;-7;;;Ja
Alan Franco;Ecuador;Midtbane;2525000;25000;0;;;1;;;;0,07;-15;10;;;Ja
Alan Minda;Ecuador;Midtbane;2989000;-11000;0;;;;;;;0,09;-13;-4;;;Ja
Alban Lafont;Elfenbenskysten;Keeper;2485000;-15000;0;;;;;;;0,17;-11;-6;;;Ja
Alejandro 'Alex' Grimaldo;Spanien;Forsvar;3985000;-15000;0;;;;;;;1,47;-129;-4;;;Ja
Aleksandar Pavlovic;Tyskland;Midtbane;3609000;109000;0;;;1;;1;;7,78;-150;30;;;Ja
Alessandro Circati;Australien;Forsvar;2627000;127000;0;;;1;;;;0,05;-9;48;;;Ja
Alessandro Schöpf;Østrig;Midtbane;2485000;-15000;0;;;;;;;0,06;-14;-6;;;Ja
Alex Arce;Paraguay;Angreb;2488000;-12000;0;;;1;;;;0,02;-8;-5;;;Ja
Alex Baena;Spanien;Midtbane;3812000;312000;0;1;;1;;;;1,96;681;82;;;Ja
Alex Freeman;USA;Forsvar;2892000;392000;0;1;1;;;;;1,71;386;136;;;Ja
Alex Paulsen;New Zealand;Keeper;2485000;-15000;0;;;;;;;0,02;-14;-6;;;Ja
Alex Rufer;New Zealand;Midtbane;2485000;-15000;0;;;;;;;0,01;-8;-6;;;Ja
Alex Sandro;Brasilien;Forsvar;2522000;22000;0;;;;;;;1,95;-47;9;;;Ja
Alexander Bernhardsson;Sverige;Midtbane;2055000;55000;0;;;;;1;;0,3;-36;27;;;Ja
Alexander Isak;Sverige;Angreb;5465000;465000;0;1;3;;;4;;1,01;-69;85;;;Ja
Alexander Nübel;Tyskland;Keeper;4485000;-15000;0;;;;;;;0,08;-16;-3;;;Ja
Alexander Prass;Østrig;Forsvar;2481000;-19000;0;;;;;;;0,11;-11;-8;;;Ja
Alexander Schlager;Østrig;Keeper;3685000;185000;0;;;;;;6;2,06;-178;50;;;Ja
Alexander Sørloth;Norge;Angreb;4593000;93000;0;;;;;;;1,66;-98;20;;;Ja
Alexandre Pierre;Haiti;Keeper;2485000;-15000;0;;;;;;;0,01;-4;-6;;;Ja
Alexis Mac Allister;Argentina;Midtbane;4666000;166000;0;;;;;1;;6,76;846;36;;;Ja
Alexis Saelemaekers;Belgien;Angreb;4176000;176000;0;1;;;;;;0,11;-9;42;;;Ja
